City,Client name,Country,Customer Segment,Date of Sale,Packaging,Priority,Product Category,Product Sub-Category,Product's name,Region,Row ID,Send date,Shipping Method,State,Zip code,Discount,Margin,Profit,Quantity,Sale Value,Shipping cost,Unit price
Vitória,Matt Collister,Brasil,Home Office,1/1/2016,Large Box,Not Specified,Office Supplies,Storage and Organization,Safco Industrial Wire Shelving,Sudeste,1914,1/3/2009 0:00,Fast Air,Espírito Santo,20715,0.08,,-342.91,9,872.48,35,95.99
SÃ£o Paulo,Jessica Myrick,Brasil,Small Business,1/1/2016,Small Box,High,Office Supplies,Storage and Organization,"Perma STOR-ALLâ„¢ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Sudeste,4031,1/2/2009 0:00,Normal Air,SÃ£o Paulo,15131,0.1,0.68,-111.8,32,180.36,4.69,5.98
AnÃ¡polis,David Philippe,Brasil,Consumer,1/2/2016,Small Box,Critical,Office Supplies,Covers and Acessories,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Centro-Oeste,1279,1/4/2009 0:00,Normal Air,GoiÃ¡s,55372,0.06,0.36,-11.937,3,124.81,2.99,40.98
Recife,Alan Schoenberger,Brasil,Corporate,1/2/2016,Jumbo Drum,Low,Furniture,Chairs,Hon 4070 Series Pagodaâ„¢ Armless Upholstered Stacking Chairs,Nordeste,5272,1/2/2009 0:00,Road Transport,Pernambuco,94559,0,0.56,-193.08,4,1239.06,48.8,291.73
Recife,Alan Schoenberger,Brasil,Corporate,1/2/2016,Jumbo Drum,Low,Furniture,Chairs,Hon Valutaskâ„¢ Swivel Chairs,Nordeste,5273,1/4/2009 0:00,Road Transport,Pernambuco,94559,0.07,0.69,-1049.85,43,4083.19,45,100.98
Recife,Alan Schoenberger,Brasil,Corporate,1/2/2016,Small Box,Low,Office Supplies,Storage and Organization,"Dual Level, Single-Width Filing Carts",Nordeste,5274,1/9/2009 0:00,Normal Air,Pernambuco,94559,0.05,0.59,1438.49,32,4902.38,7.07,155.06
Recife,Elizabeth Moffitt,Brasil,Consumer,1/2/2016,Wrap Bag,Critical,Office Supplies,Paper,"Black Print Carbonless Snap-OffÂ® Rapid Letter, 8 1/2"" x 7""",Nordeste,6224,1/4/2009 0:00,Fast Air,Pernambuco,90640,0.09,0.4,26.71,16,137.63,2.15,9.11
Recife,Elizabeth Moffitt,Brasil,Consumer,1/2/2016,Wrap Bag,Critical,Office Supplies,Paper,White GlueTop Scratch Pads,Nordeste,6225,1/2/2009 0:00,Normal Air,Pernambuco,90640,0.08,0.39,247.79,43,614.8,1.97,15.04
Teresina,Alex Russell,Brasil,Home Office,1/3/2016,Wrap Bag,High,Office Supplies,Pens and art supplies,"Dixon PrangÂ® Watercolor Pencils, 10-Color Set with Brush",Nordeste,1074,1/4/2009 0:00,Normal Air,Piauí,97035,0.03,0.44,24.55,29,122.23,1.2,4.26
Florianópolis,Andy Reiter,Brasil,Corporate,1/3/2016,Small Box,Low,Technology,Peripherals,"Fellowes Mobile Numeric Keypad, Graphite",Sul,1315,1/5/2009 0:00,Normal Air,Santa Catarina,70802,0.08,0.66,-236.43,12,522.49,16.71,43.22
Florianópolis,Andy Reiter,Brasil,Corporate,1/3/2016,Large Box,Low,Technology,Office machines,Polycom ViaVideoâ„¢ Desktop Video Communications Unit,Sul,1316,1/10/2009 0:00,Normal Air,Santa Catarina,70802,0.05,0.37,14440.39,49,28359.4,24.49,574.74
Florianópolis,Andy Reiter,Brasil,Corporate,1/3/2016,Wrap Bag,Low,Office Supplies,Paper,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Sul,1317,1/7/2009 0:00,Normal Air,Santa Catarina,70802,0.04,0.36,32.44,12,123.76,2.27,10.14
Natal,Larry Tron,Brasil,Home Office,1/3/2016,Medium Box,High,Furniture,Office Furniture,36X48 HARDFLOOR CHAIRMAT,Nordeste,1336,1/4/2009 0:00,Normal Air,Rio Grande do Norte,84020,0.05,0.78,-146.05,12,262.76,21.2,20.98
Natal,Ann Steele,Brasil,Corporate,1/3/2016,Jumbo Drum,Not Specified,Technology,Office machines,Panasonic KX-P2130 Dot Matrix Printer,Nordeste,1663,1/5/2009 0:00,Road Transport,Rio Grande do Norte,84041,0,0.59,-452.2695,4,896.49,14.7,213.45
Brasilia,Bill Donatelli,Brasil,Corporate,1/3/2016,Small Box,Critical,Office Supplies,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Centro-Oeste,4223,1/5/2009 0:00,Normal Air,Mato Grosso do Sul,68847,0.03,0.4,-41.58,15,85.56,5.66,5.28
Brasilia,Bill Donatelli,Brasil,Corporate,1/3/2016,Small Box,Critical,Technology,Telephones and Communication,T18,Centro-Oeste,4224,1/6/2009 0:00,Normal Air,Mato Grosso do Sul,68847,0.01,0.57,-212.553,8,754.6555,2.5,110.99
MaringÃ¡,Patrick Jones,Brasil,Home Office,1/3/2016,Small Box,High,Office Supplies,Covers and Acessories,Avery Heavy-Duty EZD â„¢ Binder With Locking Rings,Sul,5704,1/4/2009 0:00,Normal Air,ParanÃ¡,36869,0.03,0.37,12.5545,29,172.51,2.99,5.58
MaringÃ¡,Patrick Jones,Brasil,Home Office,1/3/2016,Jumbo Box,High,Furniture,Tables,Bush Advantage CollectionÂ® Round Conference Table,Sul,5705,1/4/2009 0:00,Road Transport,ParanÃ¡,36869,0.09,0.64,-93.16,4,698,52.2,212.6
Caldas Novas,Tamara Dahlen,Brasil,Corporate,1/4/2016,Small Box,Critical,Office Supplies,Covers and Acessories,Cardinal Poly Pocket Divider Pockets for Ring Binders,Centro-Oeste,1193,1/5/2009 0:00,Normal Air,GoiÃ¡s,78577,0.03,0.4,-76.015,17,63.34,6.27,3.36
Caldas Novas,Tamara Dahlen,Brasil,Corporate,1/4/2016,Wrap Bag,Critical,Office Supplies,Paper,"""While you Were Out"" Message Book, One Form per Page",Centro-Oeste,1194,1/6/2009 0:00,Fast Air,GoiÃ¡s,78577,0.07,0.35,8.33,42,151.35,1.93,3.71
Novo Gama,Dave Hallsten,Brasil,Home Office,1/4/2016,Jumbo Drum,High,Furniture,Chairs,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Centro-Oeste,6953,1/5/2009 0:00,Road Transport,GoiÃ¡s,77803,0.06,0.61,-394.69,3,1039.56,30,350.98
SÃ£o Paulo,Dorris Love,Brasil,Home Office,1/5/2016,Wrap Bag,Not Specified,Office Supplies,Paper,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Sudeste,47,1/6/2009 0:00,Normal Air,SÃ£o Paulo,11729,0.05,0.36,-32.48,24,188.73,5.83,7.64
CuiabÃ¡,Matt Collins,Brasil,Consumer,1/5/2016,Small Pack,High,Technology,Peripherals,"Memorex 4.7GB DVD+RW, 3/Pack",Centro-Oeste,164,1/6/2009 0:00,Normal Air,Mato Grosso,50501,0.03,0.4,-28.46,6,165.75,1.99,28.48
CuiabÃ¡,Matt Collins,Brasil,Consumer,1/5/2016,Small Box,High,Technology,Telephones and Communication,3285,Centro-Oeste,165,1/7/2009 0:00,Normal Air,Mato Grosso,50501,0.01,0.59,-60.39,11,2021.147,5.99,205.99
Ibaiti,Valerie Dominguez,Brasil,Corporate,1/5/2016,Small Box,Average,Office Supplies,Storage and Organization,"Perma STOR-ALLâ„¢ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Sul,3588,1/6/2009 0:00,Normal Air,ParanÃ¡,32174,0.09,0.68,-131.08,43,257.41,4.69,5.98
Brasilia,Pauline Chand,Brasil,Small Business,1/5/2016,Large Box,Critical,Furniture,Office Furniture,Electrix Halogen Magnifier Lamp,Centro-Oeste,3981,1/7/2009 0:00,Normal Air,Mato Grosso do Sul,73071,0.01,0.59,1162.76,21,4201.08,11.54,194.3
Brasilia,Pauline Chand,Brasil,Small Business,1/5/2016,Large Box,Critical,Furniture,Office Furniture,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,Centro-Oeste,3982,1/6/2009 0:00,Normal Air,Mato Grosso do Sul,73071,0.02,0.59,2593.14,41,8958.46,21.21,209.84
Brasilia,Pauline Chand,Brasil,Small Business,1/5/2016,Jumbo Drum,Critical,Technology,Office machines,Panasonic KX-P1150 Dot Matrix Printer,Centro-Oeste,3983,1/7/2009 0:00,Road Transport,Mato Grosso do Sul,73071,0,0.56,1054.93,33,4913.7,17.85,145.45
CuiabÃ¡,Marina Lichtenstein,Brasil,Corporate,1/5/2016,Jumbo Drum,Not Specified,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Centro-Oeste,4555,1/6/2009 0:00,Road Transport,Mato Grosso,52001,0.08,0.55,-131.31,5,1244.19,43.32,243.98
GoiÃ¢nia,Susan Vittorini,Brasil,Home Office,1/5/2016,Jumbo Drum,High,Technology,Office machines,Canon S750 Color Inkjet Printer,Centro-Oeste,7352,1/7/2009 0:00,Road Transport,GoiÃ¡s,60056,0.08,0.38,-188.5812,6,700.73,26.3,120.97
Novo Gama,Darren Budd,Brasil,Consumer,1/5/2016,Jumbo Drum,Critical,Furniture,Chairs,"Metal Folding Chairs, Beige, 4/Carton",Centro-Oeste,8011,1/6/2009 0:00,Normal Air,GoiÃ¡s,76021,0.08,0.58,1.74,43,78.08,0.75,1.81
Novo Gama,Darren Budd,Brasil,Consumer,1/5/2016,Jumbo Drum,Critical,Furniture,Chairs,Hon 4700 Series Mobuisâ„¢ Mid-Back Task Chairs with Adjustable Arms,Centro-Oeste,8012,1/7/2009 0:00,Road Transport,GoiÃ¡s,76021,0.06,0.64,-1358.9,29,653.54,53.03,20.98
Novo Gama,Darren Budd,Brasil,Consumer,1/5/2016,Large Box,Critical,Furniture,Office Furniture,Telescoping Adjustable Floor Lamp,Centro-Oeste,8013,1/5/2009 0:00,Normal Air,GoiÃ¡s,76021,0.07,0.6,-335.24,48,12635.75,35,279.48
Novo Gama,Darren Budd,Brasil,Consumer,1/5/2016,Jumbo Box,Critical,Furniture,Tables,"Iceberg OfficeWorks 42"" Round Tables",Centro-Oeste,8014,1/6/2009 0:00,Normal Air,GoiÃ¡s,76021,0.08,0.7,-139.15575,49,240.3,5.68,4.91
Novo Gama,Darren Budd,Brasil,Consumer,1/5/2016,Small Box,Critical,Technology,Telephones and Communication,232,Centro-Oeste,8015,1/5/2009 0:00,Normal Air,GoiÃ¡s,76021,0.04,0.55,667.449,25,2750.107,5.26,125.99
Itajaí,Robert Waldorf,Brasil,Home Office,1/5/2016,Small Box,High,Office Supplies,Paper,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Sul,8291,1/7/2009 0:00,Normal Air,Santa Catarina,71203,0,0.4,245.97,23,725.43,5.76,30.98
Curitiba,Victor Price,Brasil,Consumer,1/6/2016,Small Box,Average,Office Supplies,Covers and Acessories,GBC VeloBinder Strips,Sul,947,1/8/2009 0:00,Fast Air,ParanÃ¡,33411,0.07,0.35,-2.392,1,22.13,6.16,7.68
Curitiba,Victor Price,Brasil,Consumer,1/6/2016,Small Pack,Average,Furniture,Office Furniture,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Sul,948,1/8/2009 0:00,Fast Air,ParanÃ¡,33411,0.05,0.37,2.39,19,129.84,4.95,6.64
Porto Alegre,Craig Leslie,Brasil,Consumer,1/6/2016,Jumbo Drum,Not Specified,Furniture,Chairs,Novimex Swivel Fabric Task Chair,Sul,2001,1/8/2009 0:00,Road Transport,Rio Grande do Sul,29915,0.01,0.74,112.44,23,3674.08,30,150.98
Porto Alegre,Craig Leslie,Brasil,Consumer,1/6/2016,Medium Box,Not Specified,Office Supplies,Storage and Organization,Eldon Portable Mobile Manager,Sul,2002,1/8/2009 0:00,Fast Air,Rio Grande do Sul,29915,0.01,0.58,-40.72,46,1413.89,13.99,28.28
Porto Alegre,Craig Leslie,Brasil,Consumer,1/6/2016,Small Box,Not Specified,Technology,Telephones and Communication,Accessory35,Sul,2003,1/7/2009 0:00,Normal Air,Rio Grande do Sul,29915,0.03,0.55,-164.043,2,61.7185,1.1,35.99
